,Date-Time,Temperature   (°C)
61,2025-02-09 12:38:03,23.94
62,2025-02-09 12:40:03,23.94
63,2025-02-09 12:42:03,23.94
64,2025-02-09 12:44:03,23.94
65,2025-02-09 12:46:03,23.94
66,2025-02-09 12:48:03,23.94
67,2025-02-09 12:50:03,21.28
68,2025-02-09 12:52:03,19.39
69,2025-02-09 12:54:03,18.53
70,2025-02-09 12:56:03,18.06
71,2025-02-09 12:58:03,17.63
72,2025-02-09 13:00:03,17.37
73,2025-02-09 13:02:03,17.16
74,2025-02-09 13:04:03,16.94
75,2025-02-09 13:06:03,16.86
76,2025-02-09 13:08:03,16.73
77,2025-02-09 13:10:03,16.69
78,2025-02-09 13:12:03,16.64
79,2025-02-09 13:14:03,16.6
80,2025-02-09 13:16:03,16.51
81,2025-02-09 13:18:03,16.47
82,2025-02-09 13:20:03,16.47
83,2025-02-09 13:22:03,16.47
84,2025-02-09 13:24:03,16.47
85,2025-02-09 13:26:03,16.43
86,2025-02-09 13:28:03,16.47
87,2025-02-09 13:30:03,16.43
88,2025-02-09 13:32:03,16.39
89,2025-02-09 13:34:03,16.43
90,2025-02-09 13:36:03,16.39
91,2025-02-09 13:38:03,16.39
92,2025-02-09 13:40:03,16.39
93,2025-02-09 13:42:03,16.43
94,2025-02-09 13:44:03,16.39
95,2025-02-09 13:46:03,16.34
96,2025-02-09 13:48:03,16.39
97,2025-02-09 13:50:03,16.34
98,2025-02-09 13:52:03,16.39
99,2025-02-09 13:54:03,16.39
100,2025-02-09 13:56:03,16.39
101,2025-02-09 13:58:03,16.3
102,2025-02-09 14:00:03,16.34
103,2025-02-09 14:02:03,16.39
104,2025-02-09 14:04:03,16.39
105,2025-02-09 14:06:03,16.39
106,2025-02-09 14:08:03,16.34
107,2025-02-09 14:10:03,16.39
108,2025-02-09 14:12:03,16.39
109,2025-02-09 14:14:03,16.39
110,2025-02-09 14:16:03,16.34
111,2025-02-09 14:18:03,16.34
112,2025-02-09 14:20:03,16.39
113,2025-02-09 14:22:03,16.39
114,2025-02-09 14:24:03,16.34
115,2025-02-09 14:26:03,16.39
116,2025-02-09 14:28:03,16.39
117,2025-02-09 14:30:03,16.34
118,2025-02-09 14:32:03,16.34
119,2025-02-09 14:34:03,16.34
120,2025-02-09 14:36:03,16.34
121,2025-02-09 14:38:03,16.34
122,2025-02-09 14:40:03,16.34
123,2025-02-09 14:42:03,16.39
124,2025-02-09 14:44:03,16.34
125,2025-02-09 14:46:03,16.34
126,2025-02-09 14:48:03,16.3
127,2025-02-09 14:50:03,16.39
128,2025-02-09 14:52:03,16.34
129,2025-02-09 14:54:03,16.34
130,2025-02-09 14:56:03,16.39
131,2025-02-09 14:58:03,16.34
132,2025-02-09 15:00:03,16.39
133,2025-02-09 15:02:03,16.3
134,2025-02-09 15:04:03,16.3
135,2025-02-09 15:06:03,16.34
136,2025-02-09 15:08:03,16.34
137,2025-02-09 15:10:03,16.34
138,2025-02-09 15:12:03,16.34
139,2025-02-09 15:14:03,16.34
140,2025-02-09 15:16:03,16.3
141,2025-02-09 15:18:03,16.34
142,2025-02-09 15:20:03,16.34
143,2025-02-09 15:22:03,16.34
144,2025-02-09 15:24:03,16.39
145,2025-02-09 15:26:03,16.34
146,2025-02-09 15:28:03,16.34
147,2025-02-09 15:30:03,16.39
148,2025-02-09 15:32:03,16.34
149,2025-02-09 15:34:03,16.39
150,2025-02-09 15:36:03,16.34
151,2025-02-09 15:38:03,16.34
152,2025-02-09 15:40:03,16.34
153,2025-02-09 15:42:03,16.3
154,2025-02-09 15:44:03,16.34
155,2025-02-09 15:46:03,16.34
156,2025-02-09 15:48:03,16.39
157,2025-02-09 15:50:03,16.34
158,2025-02-09 15:52:03,16.34
159,2025-02-09 15:54:03,16.34
160,2025-02-09 15:56:03,16.3
161,2025-02-09 15:58:03,16.34
162,2025-02-09 16:00:03,16.34
163,2025-02-09 16:02:03,16.39
164,2025-02-09 16:04:03,16.3
165,2025-02-09 16:06:03,16.34
166,2025-02-09 16:08:03,16.34
167,2025-02-09 16:10:03,16.39
168,2025-02-09 16:12:03,16.34
169,2025-02-09 16:14:03,16.34
170,2025-02-09 16:16:03,16.3
171,2025-02-09 16:18:03,16.34
172,2025-02-09 16:20:03,16.3
173,2025-02-09 16:22:03,16.34
174,2025-02-09 16:24:03,16.34
175,2025-02-09 16:26:03,16.3
176,2025-02-09 16:28:03,16.3
177,2025-02-09 16:30:03,16.34
178,2025-02-09 16:32:03,16.34
179,2025-02-09 16:34:03,16.3
180,2025-02-09 16:36:03,16.39
181,2025-02-09 16:38:03,16.3
182,2025-02-09 16:40:03,16.3
183,2025-02-09 16:42:03,16.34
184,2025-02-09 16:44:03,16.34
185,2025-02-09 16:46:03,16.34
186,2025-02-09 16:48:03,16.39
187,2025-02-09 16:50:03,16.34
188,2025-02-09 16:52:03,16.34
189,2025-02-09 16:54:03,16.3
190,2025-02-09 16:56:03,16.3
191,2025-02-09 16:58:03,16.34
192,2025-02-09 17:00:03,16.34
193,2025-02-09 17:02:03,16.34
194,2025-02-09 17:04:03,16.3
195,2025-02-09 17:06:03,16.34
196,2025-02-09 17:08:03,16.34
197,2025-02-09 17:10:03,16.39
198,2025-02-09 17:12:03,16.3
199,2025-02-09 17:14:03,16.43
