Date-Time (EST),Temperature_Sensor1 2025-03-08 10_53_43 EST (Data EST),Temperature_Sensor2 2025-03-08 11_36_27 EST (Data EST),Temperature_Sensor3 2025-03-08 12_57_01 EST (Data EST),Temperature_Sensor4 2025-03-08 13_24_43 EST (Data EST),Temperature_Sensor5 2025-03-08 10_27_43 EST (Data EST)
2/9/2025 19:52,9.91,11.45,16.3,15.14,10.38
2/9/2025 19:54,9.86,11.45,16.34,15.18,10.38
2/9/2025 19:56,9.91,11.45,16.34,15.18,10.38
2/9/2025 19:58,9.86,11.49,16.3,15.14,10.34
2/9/2025 20:00,9.91,11.45,16.3,15.18,10.34
2/9/2025 20:02,9.86,11.45,16.3,15.14,10.38
2/9/2025 20:04,9.86,11.49,16.3,15.16,10.34
2/9/2025 20:06,9.86,11.45,16.3,15.18,10.29
2/9/2025 20:08,9.91,11.45,16.39,15.1,10.25
2/9/2025 20:10,9.91,11.45,16.39,15.116,10.25
2/9/2025 20:12,9.86,11.41,16.3,15.132,10.21
2/9/2025 20:14,9.86,11.45,16.3,15.148,10.21
2/9/2025 20:16,9.86,11.41,16.34,15.164,10.21
2/9/2025 20:18,9.86,11.43,16.34,15.18,10.21
2/9/2025 20:20,9.86,11.45,16.3,15.18,10.165
2/9/2025 20:22,9.82,11.45,16.3,15.18,10.12
2/9/2025 20:24,9.86,11.45,16.34,15.18,10.16
2/9/2025 20:26,9.86,11.45,16.39,15.18,10.16
2/9/2025 20:28,9.82,11.45,16.34,15.18,10.08
2/9/2025 20:30,9.86,11.41,16.3,15.18,10.04
2/9/2025 20:32,9.86,11.45,16.3,15.16,10.08
2/9/2025 20:34,9.86,11.45,16.3,15.14,9.99
2/9/2025 20:36,9.86,11.45,16.34,15.18,9.99
2/9/2025 20:38,9.86,11.45,16.34,15.18,9.99
2/9/2025 20:40,9.86,11.41,16.3,15.18,9.91
2/9/2025 20:42,9.82,11.41,16.34,15.18,9.91
2/9/2025 20:44,9.82,11.49,16.34,15.18,9.91
2/9/2025 20:46,9.86,11.41,16.34,15.18,9.86
2/9/2025 20:48,9.86,11.45,16.34,15.18,9.86
2/9/2025 20:50,9.86,11.49,16.34,15.18,9.91
2/9/2025 20:52,9.82,11.45,16.3,15.18,9.82
2/9/2025 20:54,9.82,11.45,16.34,15.18,9.86
2/9/2025 20:56,9.82,11.41,16.3,15.18,9.86
2/9/2025 20:58,9.82,11.45,16.34,15.18,9.86
2/9/2025 21:00,9.82,11.41,16.34,15.18,9.86
2/9/2025 21:02,9.82,11.41,16.34,15.18,9.91
2/9/2025 21:04,9.82,11.45,16.39,15.18,9.82
2/9/2025 21:06,9.82,11.45,16.34,15.18,9.69
2/9/2025 21:08,9.82,11.41,16.3,15.18,9.74
2/9/2025 21:10,9.82,11.45,16.3,15.16,9.69
2/9/2025 21:12,9.82,11.45,16.3,15.14,9.65
2/9/2025 21:14,9.82,11.41,16.34,15.18,9.65
2/9/2025 21:16,9.82,11.43,16.34,15.16,9.65
2/9/2025 21:18,9.82,11.45,16.39,15.14,9.61
